--2020-07-24 04:00:02--  ftp://bks-speedtest-1.tele2.net/100MB.zip
           => ‘/dev/null’
Resolving bks-speedtest-1.tele2.net (bks-speedtest-1.tele2.net)... 90.130.74.113, 2a00:800:1010:9::2
Connecting to bks-speedtest-1.tele2.net (bks-speedtest-1.tele2.net)|90.130.74.113|:21... connected.
Logging in as anonymous ... Logged in!
==> SYST ... done.    ==> PWD ... done.
 62550K .......... .......... .......... .......... .......... 61% 46.9M 1s
 62600K .......... .......... .......... .......... .......... 61% 45.3M 1s
 62650K .......... .......... .......... .......... .......... 61% 42.8M 1s
 62700K .......... .......... .......... .......... .......... 61% 41.4M 1s
 62750K .......... .......... .......... .......... .......... 61%  205M 1s
 62800K .......... .......... .......... .......... .......... 61% 41.7M 1s
 62850K .......... .......... .......... .......... .......... 61% 46.2M 1s
 62900K .......... .......... .......... .......... .......... 61% 47.0M 1s
 62950K .......... .......... .......... .......... .......... 61%  110M 1s
 63000K .......... .......... .......... .......... .......... 61% 46.9M 1s
 63050K .......... .......... .......... .......... .......... 61% 48.3M 1s
 63100K .......... .......... .......... .......... .......... 61% 43.4M 1s
 63150K .......... .......... .......... .......... .......... 61% 41.8M 1s
 63200K .......... .......... .......... .......... .......... 61%  151M 1s
 63250K .......... .......... .......... .......... .......... 61% 42.9M 1s
 63300K .......... .......... .......... .......... .......... 61% 30.8M 1s
 63350K .......... .......... .......... .......... .......... 61%  132M 1s
 63400K .......... .......... .......... .......... .......... 61% 47.9M 1s
 63450K .......... .......... .......... .......... .......... 62% 50.5M 1s
 63500K .......... .......... .......... .......... .......... 62% 45.6M 1s
 63550K .......... .......... .......... .......... .......... 62% 52.6M 1s
 63600K .......... .......... .......... .......... .......... 62% 44.1M 1s
 63650K .......... .......... .......... .......... .......... 62%  124M 1s
 63700K .......... .......... .......... .......... .......... 62% 31.2M 1s
 63750K .......... .......... .......... .......... .......... 62% 87.3M 1s
 63800K .......... .......... .......... .......... .......... 62% 42.6M 1s
 63850K .......... .......... .......... .......... .......... 62% 44.2M 1s
 63900K .......... .......... .......... .......... .......... 62%  137M 1s
 63950K .......... .......... .......... .......... .......... 62% 44.4M 1s
 64000K .......... .......... .......... .......... .......... 62% 47.2M 1s
 64050K .......... .......... .......... .......... .......... 62% 42.9M 1s
 64100K .......... .......... .......... .......... .......... 62% 43.2M 1s
 64150K .......... .......... .......... .......... .......... 62%  170M 1s
 64200K .......... .......... .......... .......... .......... 62% 44.9M 1s
 64250K .......... .......... .......... .......... .......... 62% 46.7M 1s
 64300K .......... .......... .......... .......... .......... 62% 40.8M 1s
 64350K .......... .......... .......... .......... .......... 62%  156M 1s
 64400K .......... .......... .......... .......... .......... 62% 46.1M 1s
 64450K .......... .......... .......... .......... .......... 62% 45.6M 1s
 64500K .......... .......... .......... .......... .......... 63% 42.1M 1s
 64550K .......... .......... .......... .......... .......... 63% 44.3M 1s
 64600K .......... .......... .......... .......... .......... 63%  150M 1s
 64650K .......... .......... .......... .......... .......... 63% 44.2M 1s
 64700K .......... .......... .......... .......... .......... 63% 10.3M 1s
 64750K .......... .......... .......... .......... .......... 63%  149M 1s
 64800K .......... .......... .......... .......... .......... 63% 48.9M 1s
 64850K .......... .......... .......... .......... .......... 63% 46.8M 1s
 64900K .......... .......... .......... .......... .......... 63% 51.7M 1s
 64950K .......... .......... .......... .......... .......... 63% 51.6M 1s
 65000K .......... .......... .......... .......... .......... 63% 44.6M 1s
 65050K .......... .......... .......... .......... .......... 63%  116M 1s
 65100K .......... .......... .......... .......... .......... 63% 43.3M 1s
 65150K .......... .......... .......... .......... .......... 63% 46.8M 1s
 65200K .......... .......... .......... .......... .......... 63% 30.4M 1s
 65250K .......... .......... .......... .......... .......... 63% 1.20G 1s
 65300K .......... .......... .......... .......... .......... 63% 53.5M 1s
 65350K .......... .......... .......... .......... .......... 63% 43.2M 1s
 65400K .......... .......... .......... .......... .......... 63% 49.5M 1s
 65450K .......... .......... .......... .......... .......... 63% 48.2M 1s
 65500K .......... .......... .......... .......... .......... 64% 92.9M 1s
 65550K .......... .......... .......... .......... .......... 64% 46.4M 1s
 65600K .......... .......... .......... .......... .......... 64% 42.4M 1s
 65650K .......... .......... .......... .......... .......... 64% 42.5M 1s
 65700K .......... .......... .......... .......... .......... 64% 50.1M 1s
 65750K .......... .......... .......... .......... .......... 64%  141M 1s
 65800K .......... .......... .......... .......... .......... 64% 44.8M 1s
 65850K .......... .......... .......... .......... .......... 64% 43.3M 1s
 65900K .......... .......... .......... .......... .......... 64% 46.0M 1s
 65950K .......... .......... .......... .......... .......... 64%  125M 1s
 66000K .......... .......... .......... .......... .......... 64% 45.2M 1s
 66050K .......... .......... .......... .......... .......... 64% 44.9M 1s
 66100K .......... .......... .......... .......... .......... 64% 42.9M 1s
 66150K .......... .......... .......... .......... .......... 64% 63.5M 1s
 66200K .......... .......... .......... .......... .......... 64% 42.7M 1s
 66250K .......... .......... .......... .......... .......... 64% 56.6M 1s
 66300K .......... .......... .......... .......... .......... 64% 40.2M 1s
 66350K .......... .......... .......... .......... .......... 64% 63.2M 1s
 66400K .......... .......... .......... .......... .......... 64%  128M 1s
 66450K .......... .......... .......... .......... .......... 64% 45.7M 1s
 66500K .......... .......... .......... .......... .......... 64% 43.5M 1s
 66550K .......... .......... .......... .......... .......... 65% 43.5M 1s
 66600K .......... .......... .......... .......... .......... 65% 44.8M 1s
 66650K .......... .......... .......... .......... .......... 65%  174M 1s
 66700K .......... .......... .......... .......... .......... 65% 42.8M 1s
 66750K .......... .......... .......... .......... .......... 65% 45.7M 1s
 66800K .......... .......... .......... .......... .......... 65% 46.2M 1s
 66850K .......... .......... .......... .......... .......... 65% 44.9M 1s
 66900K .......... .......... .......... .......... .......... 65%  121M 1s
 66950K .......... .......... .......... .......... .......... 65% 42.8M 1s
 67000K .......... .......... .......... .......... .......... 65% 49.8M 1s
 67050K .......... .......... .......... .......... .......... 65% 42.1M 1s
 67100K .......... .......... .......... .......... .......... 65%  146M 1s
 67150K .......... .......... .......... .......... .......... 65% 41.7M 1s
 67200K .......... .......... .......... .......... .......... 65% 50.3M 1s
 67250K .......... .......... .......... .......... .......... 65% 42.1M 1s
 67300K .......... .......... .......... .......... .......... 65% 48.6M 1s
 67350K .......... .......... .......... .......... .......... 65%  109M 1s
 67400K .......... .......... .......... .......... .......... 65% 45.7M 1s
 67450K .......... .......... .......... .......... .......... 65% 46.0M 1s
 67500K .......... .......... .......... .......... .......... 65% 10.6M 1s
 67550K .......... .......... .......... .......... .......... 66%  195M 1s
 67600K .......... .......... .......... .......... .......... 66% 42.7M 1s
 67650K .......... .......... .......... .......... .......... 66% 46.7M 1s
 67700K .......... .......... .......... .......... .......... 66% 53.6M 1s
 67750K .......... .......... .......... .......... .......... 66% 53.8M 1s
 67800K .......... .......... .......... .......... .......... 66%  114M 1s
 67850K .......... .......... .......... .......... .......... 66% 47.5M 1s
 67900K .......... .......... .......... .......... .......... 66% 46.2M 1s
 67950K .......... .......... .......... .......... .......... 66% 42.8M 1s
 68000K .......... .......... .......... .......... .......... 66%  133M 1s
 68050K .......... .......... .......... .......... .......... 66% 41.8M 1s
 68100K .......... .......... .......... .......... .......... 66% 48.6M 1s
 68150K .......... .......... .......... .......... .......... 66% 45.9M 1s
 68200K .......... .......... .......... .......... .......... 66% 47.5M 1s
 68250K .......... .......... .......... .......... .......... 66% 96.6M 1s
 68300K .......... .......... .......... .......... .......... 66% 46.8M 1s
 68350K .......... .......... .......... .......... .......... 66% 33.5M 1s
 68400K .......... .......... .......... .......... .......... 66% 71.5M 1s
 68450K .......... .......... .......... .......... .......... 66% 39.7M 1s
 68500K .......... .......... .......... .......... .......... 66%  156M 1s
 68550K .......... .......... .......... .......... .......... 66% 47.8M 1s
 68600K .......... .......... .......... .......... .......... 67% 45.8M 1s
 68650K .......... .......... .......... .......... .......... 67% 41.2M 1s
 68700K .......... .......... .......... .......... .......... 67%  157M 1s
 68750K .......... .......... .......... .......... .......... 67% 44.9M 1s
